transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,date
31,88,2810,2017-09-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2002-10-10,2020-08-12 17:40:34.669269
32,1,3214,2017-02-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14,2020-08-12 17:40:34.669269
33,25,1272,2017-03-20,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,2020-08-12 17:40:34.669269
34,99,2003,2017-02-28,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,2020-08-12 17:40:34.669269
35,0,2171,2017-08-20,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,2020-08-12 17:40:34.669269
36,92,3356,2017-07-07,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-09-10,2020-08-12 17:40:34.669269
37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24,2020-08-12 17:40:34.669269
38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1991-11-07,2020-08-12 17:40:34.669269
39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2005-12-07,2020-08-12 17:40:34.669269
40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,2020-08-12 17:40:34.669269
41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2003-02-16,2020-08-12 17:40:34.669269
42,79,3398,2017-05-14,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,2013-09-16,2020-08-12 17:40:34.669269
43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-10,2020-08-12 17:40:34.669269
44,46,165,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,2003-02-16,2020-08-12 17:40:34.669269
45,55,2787,2017-06-07,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2015-06-17,2020-08-12 17:40:34.669269
46,66,3053,2017-06-20,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09,2020-08-12 17:40:34.669269
47,35,475,2017-05-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12,2020-08-12 17:40:34.669269
48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,2012-04-10,2020-08-12 17:40:34.669269
49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-07,2020-08-12 17:40:34.669269
50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-22,2020-08-12 17:40:34.669269
51,77,3108,2017-03-24,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10,2020-08-12 17:40:34.669269
52,96,857,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2007-12-11,2020-08-12 17:40:34.669269
53,6,3455,2017-12-21,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,1991-11-07,2020-08-12 17:40:34.669269
54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1994-07-12,2020-08-12 17:40:34.669269
55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,2020-08-12 17:40:34.669269
56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1997-02-09,2020-08-12 17:40:34.669269
57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09,2020-08-12 17:40:34.669269
58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,1999-07-26,2020-08-12 17:40:34.669269
59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02,2020-08-12 17:40:34.669269
60,60,3473,2017-12-18,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2014-07-28,2020-08-12 17:40:34.669269
61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1993-10-02,2020-08-12 17:40:34.669269
62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,2020-08-12 17:40:34.669269
63,35,368,2017-12-17,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-14,2020-08-12 17:40:34.669269
64,0,2000,2017-07-08,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,2006-11-10,2020-08-12 17:40:34.669269
65,28,825,2017-05-16,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,2016-11-22,2020-08-12 17:40:34.669269
66,86,3315,2017-02-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-07-26,2020-08-12 17:40:34.669269
67,2,75,2017-07-03,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,2020-08-12 17:40:34.669269
68,4,1498,2017-09-30,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2004-09-28,2020-08-12 17:40:34.669269
69,38,1612,2017-10-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15,2020-08-12 17:40:34.669269
70,27,2192,2017-05-06,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23,2020-08-12 17:40:34.669269
71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,2020-08-12 17:40:34.669269
72,77,3307,2017-05-09,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,2020-08-12 17:40:34.669269
73,22,2430,2017-07-23,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15,2020-08-12 17:40:34.669269
74,56,1506,2017-01-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04,2020-08-12 17:40:34.669269
75,58,1346,2017-06-20,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18,2020-08-12 17:40:34.669269
76,22,927,2017-03-10,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1991-11-10,2020-08-12 17:40:34.669269
77,50,763,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16,2020-08-12 17:40:34.669269
78,80,2397,2017-11-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1998-12-16,2020-08-12 17:40:34.669269
79,87,102,2017-09-12,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-25,2020-08-12 17:40:34.669269
80,15,2884,2017-12-16,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07,2020-08-12 17:40:34.669269
81,84,759,2017-10-07,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,2020-08-12 17:40:34.669269
82,21,773,2017-04-27,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,2011-05-07,2020-08-12 17:40:34.669269
83,0,3398,2017-04-01,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2003-01-05,2020-08-12 17:40:34.669269
84,33,3297,2017-11-02,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,2020-08-12 17:40:34.669269
85,84,2434,2017-02-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2004-12-18,2020-08-12 17:40:34.669269
86,1,1861,2017-07-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2004-09-28,2020-08-12 17:40:34.669269
87,27,1233,2017-05-23,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1991-08-05,2020-08-12 17:40:34.669269
88,31,1390,2017-08-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1993-04-20,2020-08-12 17:40:34.669269
89,0,2682,2017-04-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,2010-05-05,2020-08-12 17:40:34.669269
90,62,439,2017-08-15,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23,2020-08-12 17:40:34.669269
91,17,1579,2017-04-15,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-04-05,2020-08-12 17:40:34.669269
92,73,2984,2017-07-25,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,2000-05-22,2020-08-12 17:40:34.669269
93,33,3470,2017-11-28,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1999-12-04,2020-08-12 17:40:34.669269
94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-10,2020-08-12 17:40:34.669269
95,45,757,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,1993-04-12,2020-08-12 17:40:34.669269
96,1,1778,2017-02-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-04-16,2020-08-12 17:40:34.669269
97,80,211,2017-05-31,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2004-12-18,2020-08-12 17:40:34.669269
98,49,333,2017-06-23,0.5004582484725051,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2003-07-21,2020-08-12 17:40:34.669269
99,95,32,2017-03-26,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-10,2020-08-12 17:40:34.669269
100,0,119,2017-07-31,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1998-12-17,2020-08-12 17:40:34.669269
101,18,2347,2017-07-27,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-10,2020-08-12 17:40:34.669269
102,4,2353,2017-04-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-16,2020-08-12 17:40:34.669269
103,33,788,2017-11-12,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,2020-08-12 17:40:34.669269
104,78,1468,2017-09-12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,2020-08-12 17:40:34.669269
105,89,821,2017-10-26,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2013-06-09,2020-08-12 17:40:34.669269
106,70,2489,2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,2020-08-12 17:40:34.669269
107,79,2710,2017-12-22,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-09,2020-08-12 17:40:34.669269
108,26,947,2017-10-11,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-26,2020-08-12 17:40:34.669269
109,39,1335,2017-03-27,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2006-10-01,2020-08-12 17:40:34.669269
110,36,1076,2017-11-04,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19,2020-08-12 17:40:34.669269
111,0,3320,2017-06-11,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,2020-08-12 17:40:34.669269
112,84,779,2017-10-09,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-02,2020-08-12 17:40:34.669269
113,98,3296,2017-06-07,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-06,2020-08-12 17:40:34.669269
114,75,455,2017-10-24,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-09,2020-08-12 17:40:34.669269
115,76,1779,2017-05-01,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2005-05-10,2020-08-12 17:40:34.669269
116,72,2703,2017-11-21,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2011-01-10,2020-08-12 17:40:34.669269
117,42,806,2017-03-24,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,1993-04-12,2020-08-12 17:40:34.669269
118,20,22,2017-03-21,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-05,2020-08-12 17:40:34.669269
119,64,1591,2017-02-20,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2005-10-22,2020-08-12 17:40:34.669269
120,0,678,2017-06-16,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-11,2020-08-12 17:40:34.669269
121,25,50,2017-12-04,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1992-10-11,2020-08-12 17:40:34.669269
122,24,1038,2017-12-01,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,1993-05-26,2020-08-12 17:40:34.669269
123,31,1453,2017-03-05,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2015-08-02,2020-08-12 17:40:34.669269
124,98,1339,2017-03-21,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-09,2020-08-12 17:40:34.669269
125,22,3382,2017-01-03,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,2013-03-12,2020-08-12 17:40:34.669269
126,53,773,2017-04-01,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,2003-07-21,2020-08-12 17:40:34.669269
127,84,2503,2017-03-16,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,2005-05-10,2020-08-12 17:40:34.669269
128,25,1057,2017-02-26,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,2020-08-12 17:40:34.669269
129,50,1397,2017-06-05,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2015-10-18,2020-08-12 17:40:34.669269
130,44,2134,2017-09-04,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,2020-08-12 17:40:34.669269
131,96,2403,2017-01-18,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10,2020-08-12 17:40:34.669269
132,12,1937,2017-09-28,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17,2020-08-12 17:40:34.669269
133,93,1282,2017-09-02,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2002-10-10,2020-08-12 17:40:34.669269
134,78,2183,2017-05-09,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1991-07-10,2020-08-12 17:40:34.669269
135,84,1788,2017-10-17,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2006-05-22,2020-08-12 17:40:34.669269
136,65,1170,2017-04-25,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-04-11,2020-08-12 17:40:34.669269
137,0,431,2017-09-23,0.0,Approved,Solex,Standard,medium,medium,1942.61,556.0469512209421,1992-10-02,2020-08-12 17:40:34.669269
138,29,1940,2017-08-02,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-03,2020-08-12 17:40:34.669269
139,32,2073,2017-03-25,0.0,Cancelled,Giant Bicycles,Standard,high,medium,1179.0,707.4,2000-11-03,2020-08-12 17:40:34.669269
140,11,462,2017-01-01,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2016-07-09,2020-08-12 17:40:34.669269
141,10,2728,2017-12-22,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,2002-08-31,2020-08-12 17:40:34.669269
142,46,2053,2017-12-25,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,2012-06-04,2020-08-12 17:40:34.669269
143,60,2135,2017-01-26,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2012-05-18,2020-08-12 17:40:34.669269
144,92,1217,2017-12-20,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21,2020-08-12 17:40:34.669269
145,7,2992,2017-06-07,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,2005-12-07,2020-08-12 17:40:34.669269
146,41,3261,2017-04-06,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,1997-05-10,2020-08-12 17:40:34.669269
147,67,2748,2017-04-25,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-22,2020-08-12 17:40:34.669269
148,14,3262,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,2003-08-05,2020-08-12 17:40:34.669269
149,89,788,2017-03-21,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-20,2020-08-12 17:40:34.669269
150,9,3067,2017-11-21,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1994-09-09,2020-08-12 17:40:34.669269
151,31,701,2017-11-11,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2003-03-18,2020-08-12 17:40:34.669269
152,92,648,2017-10-16,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2000-11-03,2020-08-12 17:40:34.669269
153,37,3286,2017-08-19,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,2020-08-12 17:40:34.669269
154,3,3383,2017-04-06,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2011-08-29,2020-08-12 17:40:34.669269
155,56,982,2017-11-04,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,2016-02-04,2020-08-12 17:40:34.669269
156,14,676,2017-08-22,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,2003-09-09,2020-08-12 17:40:34.669269
157,6,385,2017-09-15,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,2015-04-11,2020-08-12 17:40:34.669269
158,50,1229,2017-03-01,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2009-04-12,2020-08-12 17:40:34.669269
159,10,3232,2017-08-16,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2013-03-12,2020-08-12 17:40:34.669269
160,0,3300,2017-08-27,0.0,Approved,Solex,Standard,medium,medium,1656.86,556.0469512209421,1992-10-02,2020-08-12 17:40:34.669269
161,69,2381,2017-07-10,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,2015-04-11,2020-08-12 17:40:34.669269
162,78,371,2017-12-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,2020-08-12 17:40:34.669269
163,80,2519,2017-05-20,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,2015-08-10,2020-08-12 17:40:34.669269
164,17,2264,2017-07-30,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09,2020-08-12 17:40:34.669269
165,3,2637,2017-10-25,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2005-08-09,2020-08-12 17:40:34.669269
166,78,3262,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,2020-08-12 17:40:34.669269
167,90,3177,2017-04-26,0.5004582484725051,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,2020-08-12 17:40:34.669269
168,87,2267,2017-02-02,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-25,2020-08-12 17:40:34.669269
169,97,456,2017-05-02,0.0,Approved,Solex,Standard,medium,large,202.62,151.96,2004-01-16,2020-08-12 17:40:34.669269
170,6,404,2017-10-16,0.5004582484725051,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,2003-08-05,2020-08-12 17:40:34.669269
171,100,3121,2017-10-22,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-06,2020-08-12 17:40:34.669269
172,55,2365,2017-04-11,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,1991-01-21,2020-08-12 17:40:34.669269
173,100,2528,2017-11-16,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-06,2020-08-12 17:40:34.669269
174,10,3151,2017-12-17,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,1994-09-09,2020-08-12 17:40:34.669269
175,25,3241,2017-12-23,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-11-22,2020-08-12 17:40:34.669269
176,74,1335,2017-03-30,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2003-09-09,2020-08-12 17:40:34.669269
177,90,2234,2017-04-13,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,2020-08-12 17:40:34.669269
178,56,3226,2017-07-25,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04,2020-08-12 17:40:34.669269
179,62,1365,2017-01-31,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23,2020-08-12 17:40:34.669269
180,20,3349,2017-03-18,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-05,2020-08-12 17:40:34.669269
181,17,1002,2017-02-24,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,2011-05-07,2020-08-12 17:40:34.669269
182,16,2282,2017-02-18,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,2013-03-12,2020-08-12 17:40:34.669269
183,46,2656,2017-01-07,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,2012-06-04,2020-08-12 17:40:34.669269
184,71,2409,2017-07-05,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24,2020-08-12 17:40:34.669269
185,91,1711,2017-11-19,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,2004-07-25,2020-08-12 17:40:34.669269
186,17,2582,2017-11-08,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09,2020-08-12 17:40:34.669269
187,1,1005,2017-07-24,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-09,2020-08-12 17:40:34.669269
188,3,1597,2017-01-15,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15,2020-08-12 17:40:34.669269
189,56,2713,2017-01-12,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1993-06-23,2020-08-12 17:40:34.669269
190,37,1435,2017-11-27,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2011-05-09,2020-08-12 17:40:34.669269
191,34,1477,2017-06-30,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,2008-03-19,2020-08-12 17:40:34.669269
192,0,1614,2017-07-15,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2006-11-10,2020-08-12 17:40:34.669269
193,12,1254,2017-06-22,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2009-03-08,2020-08-12 17:40:34.669269
194,25,1423,2017-05-02,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2011-01-10,2020-08-12 17:40:34.669269
195,81,276,2017-12-27,0.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10,2020-08-12 17:40:34.669269
196,19,1315,2017-12-21,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1999-06-23,2020-08-12 17:40:34.669269
